title_english,Action,Girls Love,Boys Love,Adventure,Avant Garde,Erotica,Gourmet,Slice of Life,Mystery,Horror,Drama,Award Winning,Sci-Fi,Fantasy,Supernatural,Comedy,Sports,Hentai,Suspense,Ecchi,Romance
Samurai Champloo,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Record of Lodoss War: Chronicles of the Heroic Knight,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Record of Lodoss War,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R.O.D - Read or Die,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
R.O.D -The TV-,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Ranma ½,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Pure Mail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Project A-Ko,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Welcome to Pia Carrot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Welcome To Pia Carrot 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Pia Carrot e Youkoso!! 2 DX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Welcome to Pia Carrot! Sayaka's Love Story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
New Angel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Martian Successor Nadesico,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Martian Successor Nadesico: The Prince of Darkness,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Mystery of the Necronomicon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Mezzo Forte,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Mezzo DSA,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Dragon Ball,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Dragon Ball GT,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Elfen Lied,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
FLCL,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Hell Girl,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
Ninja Nonsense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Air Master,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shrine of the Morning Mist,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Cardcaptor Sakura,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Daa! Daa! Daa!,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Dan Doh!!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Case Closed,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
E's Otherwise,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Eureka Seven,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Flame of Recca,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gankutsuou: The Count of Monte Cristo,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0
Genshiken,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Girls Bravo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
The Gokusen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gravitation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Agatha Christie's Great Detectives Poirot and Marple,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Great Teacher Onizuka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rave Master,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Strawberry 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
InuYasha,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Zatch Bell!,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Kyou kara Maou!,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Madlax,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
Haré+Guu,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Haré+Guu Deluxe,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Jungle wa Itsumo Hare nochi Guu Final,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Voices of a Distant Star,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
Ikki Tousen: Battle Vixens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hitsuji no Uta,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Happy☆Lesson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Happy☆Lesson (TV),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Happy☆Lesson Advance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Happy☆Lesson The Final,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Fighting Spirit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fighting Spirit: Champion Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fighting Spirit: Mashiba vs. Kimura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gunparade March: A New Song for the March,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Gungrave,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Golden Boy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Bleach,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hellsing,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Gad Guard,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Noir,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Someday's Dreamers,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiddy Grade,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Love♥Love?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Mahoromatic: Automatic Maiden,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
Mahoromatic ~Something More Beautiful~,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
