title_english,Horror,Boys Love,Suspense,Adventure,Girls Love,Sci-Fi,Erotica,Hentai,Fantasy,Romance,Drama,Avant Garde,Award Winning,Sports,Action,Slice of Life,Comedy,Mystery,Ecchi,Gourmet,Supernatural,Cluster
Vandread: The Second Stage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
The Vision of Escaflowne,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
Whistle!,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Xenosaga The Animation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Initial D First Stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11
Initial D Second Stage,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11
Initial D Third Stage,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
Masquerade,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Love Hina,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
Love Hina Again,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
Love Hina Christmas Movie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Love Hina Spring Movie,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
Maburaho,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3
Macross Zero,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Please Teacher!,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Please Twins!,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,11
Rizelmine,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
Speed Grapher,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,12
Spirited Away,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7
Cheeky Angel,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Video Girl Ai,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3
Wolf's Rain,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2
Words Worth,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13
Yumeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Samurai Champloo,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
Record of Lodoss War: Chronicles of the Heroic Knight,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,2
Record of Lodoss War,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
R.O.D - Read or Die,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
R.O.D -The TV-,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,8
Ranma ½,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,10
Pure Mail,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Project A-Ko,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8
Welcome to Pia Carrot,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Welcome To Pia Carrot 2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4
Pia Carrot e Youkoso!! 2 DX,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Welcome to Pia Carrot! Sayaka's Love Story,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
New Angel,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,11
Martian Successor Nadesico,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Martian Successor Nadesico: The Prince of Darkness,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Mystery of the Necronomicon,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Mezzo Forte,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Mezzo DSA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,8
